BUSDATA_ID,DEAL_TYPE,DEAL_SEQ_NUM,DEAL_TIME,SAM_CODE,BUSINESS_CODE,GRANT_CARD_CODE,CARD_TYPE,MONTH_TICKET_TYPE,LINE_CODE,VEHICLE_CODE,ON_STATION,OFF_STATION,DRIVER_CODE,CREATEDATE,UPDATEDATE,BUS_GROUP_CODE,POS_CODE,UP_TIME
18349998320,0,4666,20160310055709,300024745,7510,89704562,1,2,362,420201,15,15,4004657,20160311170108,20160311170108,5124,0,19700101010101
18349992346,0,4666,20160310055711,300024745,7510,65067422,1,2,362,420201,15,15,4004657,20160311170108,20160311170108,5124,0,19700101010101
18349887599,0,5072,20160310055735,300031853,7510,22104646,1,1,362,420194,16,16,4004686,20160311170108,20160311170108,5124,0,19700101010101
18349873962,0,2895,20160310055735,300031854,7510,64543317,1,1,362,420194,16,16,4004686,20160311170108,20160311170108,5124,0,19700101010101
18349861421,0,2895,20160310055737,300031854,7510,87233575,1,1,362,420194,16,16,4004686,20160311170108,20160311170108,5124,0,19700101010101
18350178789,6,19234,20160310055745,300024739,7510,81923946,1,2,362,420201,16,10,4004657,20160311170108,20160311170108,5124,0,20160310055101
18349870217,0,5072,20160310055859,300031853,7510,35170318,19,1,362,420194,16,16,4004686,20160311170108,20160311170108,5124,0,19700101010101
18349873356,0,2895,20160310055900,300031854,7510,19147934,1,1,362,420194,16,16,4004686,20160311170108,20160311170108,5124,0,19700101010101
18351413572,0,4417,20160310055902,300024736,7510,49498573,1,1,362,420188,19,19,4004629,20160311171138,20160311171138,5124,0,19700101010101
18349890062,0,2895,20160310060011,300031854,7510,43455713,1,1,362,420194,15,15,4004686,20160311170108,20160311170108,5124,0,19700101010101
18349864302,0,2895,20160310060013,300031854,7510,36312629,1,1,362,420194,15,15,4004686,20160311170108,20160311170108,5124,0,19700101010101
18349886820,0,5072,20160310060014,300031853,7510,37283722,6,1,362,420194,15,15,4004686,20160311170108,20160311170108,5124,0,19700101010101
18349882880,0,2895,20160310060014,300031854,7510,42131682,18,1,362,420194,15,15,4004686,20160311170108,20160311170108,5124,0,19700101010101
